Wallet,# gotchis,Gotchis VLT,vGHST balance,vGHST VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,22,35.26546452,393601.1591,837.6384174,872.9038819
0xd281F988242C900d67fF2aafABe683B8004Ee778,172,275.7118135,234826.2995,499.7432687,775.4550822
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,185,296.5504971,99231.29381,211.1780974,507.7285944
0x6994ba66FD6789044c4aD43786CC16840d099C8a,74,118.6201988,144035.431,306.5275793,425.1477781
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,1,1.60297566,177329.3574,377.3817197,378.9846954
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,150,240.446349,16220.91259,34.52037484,274.9667238
0x60c4ae0EE854a20eA7796a9678090767679B30FC,144,230.828495,1.950017506,0.00414991,230.8326449
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,110,176.3273226,0,0,176.3273226
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,0,0,73837.66568,157.1368986,157.1368986
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,90,144.2678094,854.1132493,1.817672671,146.0854821
0xC561C9b7035732B4EbDbAe6aC43D6a293aB53896,30,48.0892698,39531.4396,84.12844255,132.2177123
0x1148501cceB0F7679365c0b8EEbB23305c523946,0,0,61328.12838,130.5148504,130.5148504
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,43,68.92795338,22865.34573,48.66065958,117.588613
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,47,75.33985602,15161.53133,32.26586307,107.6057191
0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,6,9.61785396,45916.45336,97.71664648,107.3345004
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,1,1.60297566,49376.12505,105.0793126,106.6822883
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,9,14.42678094,42489.94754,90.42456199,104.8513429
0xa33Aa58FD2795eA89a84C19CACDad50915194980,56,89.76663696,338.8613045,0.721144337,90.48778129
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,10,16.0297566,33388.39653,71.05518615,87.08494275
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,3,4.80892698,35589.61001,75.73967686,80.54860384
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,49,78.54580734,31.67190457,0.067402251,78.61320959
0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,45,72.1339047,0,0,72.1339047
0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,0,0,32869.31196,69.95050145,69.95050145
0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,43,68.92795338,104.479118,0.222346203,69.15029958
0xbbA31530Cd8e112be845da468B72fbbFE739387A,25,40.0743915,12408.78798,26.40763951,66.48203101
0xc0893fA01108f50fa2A04e2ccEE815376EC56233,41,65.72200206,309.5878709,0.658846368,66.38084843
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,40,64.1190264,0.924933655,0.001968388,64.12099479
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,40,64.1190264,0,0,64.1190264
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,18,28.85356188,15874.40658,33.7829615,62.63652338
0x7b3012531aaEd7b48bc9BfbC1cd7E7f20B1BB5b8,39,62.51605074,0,0,62.51605074
0xB3e2A7b1295d9EE03e1f300DfCCaab2ecd47ee53,36,57.70712376,9.45052E-05,2.0112E-07,57.70712396
0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,0,0,25660.83003,54.60984186,54.60984186
0xCeeC48581B3145a575508719f45da07dc57fA7ce,33,52.89819678,617.4903704,1.31410603,54.21230281
0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,18,28.85356188,10900,23.19672729,52.05028917
0x66ab6A57322aC5FD7026662675Db0E83307e025E,31,49.69224546,0,0,49.69224546
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,31,49.69224546,0,0,49.69224546
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,21,33.66248886,5654.386329,12.03332639,45.69581525
0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,0,0,20978.37139,44.64491378,44.64491378
0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,18,28.85356188,7243.923019,15.41608319,44.26964507
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,24,38.47141584,0,0,38.47141584
0x3F7C10cBbb1EA1046a80B738b9Eaf3217410c7F6,5,8.0148783,13297.013,28.29790681,36.31278511
0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,6,9.61785396,12275.26358,26.12348088,35.74133484
0xa499Df2Bdae854093e5576c26C9e53E1b30d25E5,0,0,16679.20368,35.4956825,35.4956825
0xc0719b1040f7f8e904A6509F99335656C1d881eD,22,35.26546452,0,0,35.26546452
0x2D5f86cd294cA6c92189340EaEFf41fc63Dc66EF,20,32.0595132,996.9575754,2.121665412,34.18117861
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,20,32.0595132,0,0,32.0595132
0x985116F8C174fE13325D36685424d1796cC11f51,0,0,14456.65149,30.76578002,30.76578002
0x38798bfB6016beEeae2b12ed1f7bA2c9bb49334f,19,30.45653754,0,0,30.45653754
0xd32f222283D295f93664B11faAC967e6826b635f,5,8.0148783,10109.39811,21.51421569,29.52909399
0x64dF7AF696e0977771a0E1e1B1a8dD22DED3Cf4b,0,0,13821.00491,29.41303502,29.41303502
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,18,28.85356188,95.75537014,0.203780845,29.05734272
0xbba2379F5cc9A2f248C5Cf18aD72379AE2478F42,18,28.85356188,0,0,28.85356188
0x9080196182F77B89BB5B0EeE3Ddb48cFA716c4c3,18,28.85356188,0,0,28.85356188
0xd4e42e41FCa01464d36a44ACAb98D2aA1447e8f4,18,28.85356188,0,0,28.85356188
0xbb899870561D48e823DdfACFFa201dc20214a530,3,4.80892698,10909.97546,23.21795647,28.02688345
0xb2ac25160796b5e384EdC1Fd8f4479A020C1B53C,5,8.0148783,9370.551812,19.94184724,27.95672554
0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,1,1.60297566,12195.90506,25.95459483,27.55757049
0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,14,22.44165924,2298.631677,4.891810289,27.33346953
0x9ff84B91998dF96A6587DB8dDe8D4E47518107d6,0,0,12390.61158,26.3689576,26.3689576
0x8565faab405b06936014C8b6bD5Ab60376Cc051B,0,0,12159.16131,25.87639899,25.87639899
0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,15,24.0446349,160.4173565,0.341390612,24.38602551
0x10e11E6443904faF15cdb944f3E99C321Ccc6199,15,24.0446349,45.90327433,0.0976886,24.1423235
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,7,11.22082962,5936.277503,12.63323031,23.85405993
0x0Cf1B3360F277976F4FeaE7cbad4a3ba6D7381f9,0,0,11153.97467,23.73722097,23.73722097
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,1,1.60297566,10111.22132,21.51809574,23.1210714
