vGHST,,,,,,Gotchis,,,,,,,,,
,,,,,,,,,,,,,,,
Wallet,Balance,Percentage,VLT earned,,,Tokenid,Wallet,,Unique wallets,Quant,percentage,VLT,,,
0x763c823E2bdd66538C85736B1784031Fa4d993F6,0.000000007,5.24384E-15,2.45196E-11,,,4211,0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,,0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,5,0.002212389,10.34486726,,Total VLT:,4675.88
0x43edCBE5be576B5FdAC57e3ab552B36a256bCBA7,0.000001014,7.69925E-13,3.60008E-09,,,17235,0x73c65A848607560345d363848a94862cdD26a3d4,,0x73c65A848607560345d363848a94862cdD26a3d4,2,0.000884956,4.137946903,,,
0x636bFC1dAde24c7E60E5807795E4534D42cb5803,0.000020423,1.54996E-11,7.24743E-08,,,11686,0x73c65A848607560345d363848a94862cdD26a3d4,,0x5477729b43A0A9beA8c41367C62e7864123B57d8,8,0.003539823,16.55178761,,VLT/gotchi,2.068973451
0xA709f9904a4E3cF50816609834175446C2246577,0.000023311,1.76915E-11,8.27234E-08,,,23640,0x5477729b43A0A9beA8c41367C62e7864123B57d8,,0x65D3FeBC3112cef66BE36df9A62Ac0f94079BD42,1,0.000442478,2.068973451,,,
0xBd617f592d27cFCD015F6d554B2e83133b663182,0.000027118,2.05808E-11,9.62333E-08,,,15067,0x65D3FeBC3112cef66BE36df9A62Ac0f94079BD42,,0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,4,0.001769912,8.275893805,,,
0xBB5B9e70345e2679c73373758694ecE96C550612,0.000027830,2.11214E-11,9.87613E-08,,,900,0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,41,0.018141593,84.8279115,,,
0x6299dbe5BE8ED5d5DF9Ff5a21B485c7da0cF3476,0.000032238,2.44664E-11,1.14402E-07,,,11530,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,2,0.000884956,4.137946903,,,
0xE08Fd80d7D0593a616c01A3F2A17bdC3206c71b4,0.000035780,2.71548E-11,1.26972E-07,,,20762,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,5,0.002212389,10.34486726,,,
0x8CbF96319b3C56d50a7C82EFb6d3c46bD6f889Ba,0.000036663,2.78248E-11,1.30105E-07,,,15035,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,,0x76b4D57A195eD129b28d1e320eD53655EF4750f3,2,0.000884956,4.137946903,,,
0x1758aC3FaB3C0Eaba6314e098e23bCcF456d33A2,0.000046115,3.49988E-11,1.6365E-07,,,23243,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,1,0.000442478,2.068973451,,,
0x8F747EB4F5e4eDb0702FbADebe2Da915AF91fd90,0.000049795,3.77913E-11,1.76708E-07,,,16565,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,0xAF51e6E946263e1d7B474073ee64EA0c5Bc01dA9,1,0.000442478,2.068973451,,,
0x284aA770c801698e77dbA304c6caADbA6fFDe9ff,0.000050965,3.86796E-11,1.80861E-07,,,24616,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,0xbbA31530Cd8e112be845da468B72fbbFE739387A,6,0.002654867,12.41384071,,,
0xbfD82bD44b3DF57B26e29770D0c8f1690f1c49F1,0.000051389,3.90014E-11,1.82366E-07,,,5052,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,0x13E965baAFDa80C7501c23cbED282d5e53e3066B,3,0.001327434,6.206920354,,,
0x0Dc7eB59fD19687cED582801dD89856fa13B8f41,0.000052264,3.96656E-11,1.85471E-07,,,21770,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,10,0.004424779,20.68973451,,,
0x4BC0D1333D0a2ACa84c52a96C089798a1f41dbc3,0.000052576,3.99019E-11,1.86577E-07,,,12653,0x76b4D57A195eD129b28d1e320eD53655EF4750f3,,0xafae1E9EcD3a355b93960402E875b886f718C55E,2,0.000884956,4.137946903,,,
0xe78bCB254E84231164b8845aC5D01E55541C8aB5,0.000053504,4.06063E-11,1.8987E-07,,,8732,0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,,0x0030B9F1925408D79be83C7cecfffdbACb638e9B,2,0.000884956,4.137946903,,,
0x5bb504E6f93E19C806d19083a8EC31d0D1e16856,0.000064349,4.88368E-11,2.28355E-07,,,8472,0xAF51e6E946263e1d7B474073ee64EA0c5Bc01dA9,,0xAF777F6ff15de8d50527208d8cbd36576b213f97,3,0.001327434,6.206920354,,,
0x29F4BC513421e123fd9A8cd4C159E40405eA02FE,0.000064443,4.89081E-11,2.28688E-07,,,18619,0xbbA31530Cd8e112be845da468B72fbbFE739387A,,0xDdA1839117919BB842F5F35ED026Dc8613f1a223,1,0.000442478,2.068973451,,,
0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,0.000065435,4.96613E-11,2.3221E-07,,,6055,0x13E965baAFDa80C7501c23cbED282d5e53e3066B,,0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,1,0.000442478,2.068973451,,,
0xC0fca04Ff8721462c53d848610818b25427B5b29,0.000074774,5.6749E-11,2.65351E-07,,,12827,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0xDF97540FD25F355bA8eD53A9eBBe3D7a3b37ee44,1,0.000442478,2.068973451,,,
0x9E0cb017C0E96b2fBc06Cd30B6F38f8E474e100A,0.000077812,5.90547E-11,2.76133E-07,,,16847,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0x00987cbCE7014389197f9D5468Dab5A8facFfeE0,1,0.000442478,2.068973451,,,
0x90C341b5aF48Eb1777cDc2C985b547A8eb9Ea9da,0.000078896,5.98773E-11,2.79979E-07,,,14491,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0x6994ba66FD6789044c4aD43786CC16840d099C8a,19,0.00840708,39.31049558,,,
0xE9bb842F4535fB16aeFd984C4C06e97E55a50318,0.000079924,6.06576E-11,2.83627E-07,,,10240,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,3,0.001327434,6.206920354,,,
0x941a95E58A293f1D8b5b43dFBdE07569ca96Bd90,0.000085549,6.49269E-11,3.0359E-07,,,18475,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0x2FAf55a544c5F73666438BC185aeCC9D685E6E3C,1,0.000442478,2.068973451,,,
0x13E965baAFDa80C7501c23cbED282d5e53e3066B,0.000088561,6.72123E-11,3.14277E-07,,,14154,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,5,0.002212389,10.34486726,,,
0x2c628914A9C4809C4A6AaBff889851444F64e457,0.000089508,6.79315E-11,3.17639E-07,,,24861,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0xA5ba6Ae9CDF56761be100a33DE63363660ef744A,1,0.000442478,2.068973451,,,
0xB3e2A7b1295d9EE03e1f300DfCCaab2ecd47ee53,0.000094505,7.17239E-11,3.35372E-07,,,14253,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,18,0.007964602,37.24152212,,,
0xCC1e0A566dbd10869c071c811aBa436357858f05,0.000096679,7.33739E-11,3.43088E-07,,,23913,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,2,0.000884956,4.137946903,,,
0x09949281E3247d8901Be507d32Ac8D8e12242a21,0.000097442,7.39528E-11,3.45794E-07,,,21792,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,,0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,3,0.001327434,6.206920354,,,
0x789C552F1F3ac2FaA8fbD901CF4C3FD3b45C1A66,0.007296316,5.53747E-09,2.58926E-05,,,21764,0xafae1E9EcD3a355b93960402E875b886f718C55E,,0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,9,0.003982301,18.62076106,,,
0xb9D8286cB05C873AEb564cd5Fe1338a38Fb3Bb39,0.057925499,4.3962E-08,0.000205561,,,14169,0xafae1E9EcD3a355b93960402E875b886f718C55E,,0x0b6bF854CB7c816518a96317893e43AB219BD365,2,0.000884956,4.137946903,,,
0xe2E0ce6A344E6E4f2811C430d1827Ff66c6417E9,0.119529829,9.07161E-08,0.000424177,,,18151,0x0030B9F1925408D79be83C7cecfffdbACb638e9B,,0x6Ca0D65fe5c8700a5cc7A2C3bfE801111A1dEd1a,2,0.000884956,4.137946903,,,
0x352aC32C9663FB7CAAC363F77B121c34D9ACb420,0.417027856,3.16499E-07,0.001479913,,,10624,0xAF777F6ff15de8d50527208d8cbd36576b213f97,,0x575C13C07b054438a513f4968605c021856f63F8,2,0.000884956,4.137946903,,,
0xC43c932Afd7046d2b608405B6edc0F4E03F990Ba,0.426935711,3.24019E-07,0.001515074,,,10247,0xAF777F6ff15de8d50527208d8cbd36576b213f97,,0xa8bd174385B14F880F8b7F06894Cc1bF265Db32e,10,0.004424779,20.68973451,,,
0xB16C93cb45553bB442812034981FE44446Fd776B,0.496164064,3.76559E-07,0.001760745,,,7634,0xAF777F6ff15de8d50527208d8cbd36576b213f97,,0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,9,0.003982301,18.62076106,,,
0x03aD93E9F86e7D1AF7603D968db5898110091Fc8,0.562403193,4.26831E-07,0.001995809,,,472,0xDdA1839117919BB842F5F35ED026Dc8613f1a223,,0x00553b963DE06016C68681C9BEE10A79c51c5D8A,2,0.000884956,4.137946903,,,
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,0.691809962,5.25043E-07,0.002455037,,,9988,0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,,0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,17,0.007522124,35.17254867,,,
0xD4b1a5c065C53D89fA2018f17aD6396DE87a390d,0.717961687,5.4489E-07,0.002547842,,,15871,0xDF97540FD25F355bA8eD53A9eBBe3D7a3b37ee44,,0xB3e2A7b1295d9EE03e1f300DfCCaab2ecd47ee53,32,0.014159292,66.20715044,,,
0xadC045001169071580ad97aF8cF5efB7f235A719,0.787138874,5.97392E-07,0.002793332,,,16148,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,3,0.001327434,6.206920354,,,
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,0.924933655,7.0197E-07,0.003282327,,,16788,0x00987cbCE7014389197f9D5468Dab5A8facFfeE0,,0x82E9B5B3F64b424d00e554fD1CCD24D7e62B22Db,1,0.000442478,2.068973451,,,
0xdB19555BE6b11dA29b4DBB8D977Db92fBED4407c,0.999448428,7.58522E-07,0.003546759,,,21811,0x6994ba66FD6789044c4aD43786CC16840d099C8a,,0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,7,0.003097345,14.48281416,,,
0xBB6182A3De745892Dd68F50F3EBc890Ba4719de1,1.992123575,1.5119E-06,0.007069481,,,7862,0x6994ba66FD6789044c4aD43786CC16840d099C8a,,0xD8e367019Dc5C28290F1e036790d72B975d35EDA,1,0.000442478,2.068973451,,,
0x9a60c82Cce9E97eBc78bfdA5e81fd705068EF9dc,1.992220646,1.51198E-06,0.007069825,,,3459,0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,,0x260EDfEa92898A3C918A80212e937e6033F8489E,1,0.000442478,2.068973451,,,
0x65D3FeBC3112cef66BE36df9A62Ac0f94079BD42,1.998294905,1.51659E-06,0.007091381,,,15339,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,21,0.009292035,43.44844248,,,
0x87a78919AdC0A79303940418A9C35AD7A5F31561,1.998294905,1.51659E-06,0.007091381,,,22144,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0xdeba9a360C9da03e5Fb30D617b6d28426E3c7Fc6,1,0.000442478,2.068973451,,,
0xE2C6a4a3A83399775BA104f16F94D2eAe905d409,1.998294905,1.51659E-06,0.007091381,,,16877,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x56f820BC0bB5326C74b804CEbAA37C3EE7524f8E,2,0.000884956,4.137946903,,,
0xd34bc82B9092f5334056daC1aF8cd5d32aBc6802,2.173170594,1.64931E-06,0.007711965,,,12889,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x4738c8b9e0d7b48db4056BF017D2F90b2319630d,3,0.001327434,6.206920354,,,
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,2.242140099,1.70165E-06,0.007956718,,,21331,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x284aA770c801698e77dbA304c6caADbA6fFDe9ff,3,0.001327434,6.206920354,,,
0x15aE010DffeC19729A410B82d51337B385a96b95,2.484653872,1.88571E-06,0.008817331,,,18209,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,45,0.019911504,93.10380531,,,
0xcd950256f924a0Eadb6B705f7A43EDF1F67C92Fa,2.986198510,2.26635E-06,0.01059717,,,18079,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x77f07Ab7B444C7C9FCfAfc76c053A810cD6203CB,3,0.001327434,6.206920354,,,
0xb76951378Af8c5eBc1c93D0A41Cc902ed19E729a,2.988071110,2.26777E-06,0.010603816,,,11227,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0xeFF1C603739cc71025C23B49C4D661E6b3DF8184,1,0.000442478,2.068973451,,,
0xe69C2f976bdF4Eb965f4807C03eedF810Fe7C97A,2.988243413,2.2679E-06,0.010604427,,,17452,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x472d7E705f3baa44f82bFF5B397330015d810828,13,0.005752212,26.89665487,,,
0x4572581Fc62D4477B9E11bb65eA8a1c306CbBa3D,4.027643496,3.05674E-06,0.014292963,,,14974,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,0x43edCBE5be576B5FdAC57e3ab552B36a256bCBA7,1,0.000442478,2.068973451,,,
0xc2fB773304Dbe9215Fa1ff1AAe87815f4f8A27ca,4.761124179,3.61341E-06,0.016895877,,,14906,0x2FAf55a544c5F73666438BC185aeCC9D685E6E3C,,0x11cF16447f9312B4fFd1c99C4390dF04CC8e33ac,1,0.000442478,2.068973451,,,
