Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,558091.0489,598.7003121,32,38.23873243,636.9390445
0xd281F988242C900d67fF2aafABe683B8004Ee778,248750.8519,266.8511043,172,205.5331868,472.3842911
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,106.4518177,185,221.0676719,327.5194895
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,226380.5909,242.8530806,22,26.28912855,269.1422091
0x6994ba66FD6789044c4aD43786CC16840d099C8a,144035.431,154.5161093,92,109.9363557,264.4524651
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,264.2940303,0,0,264.2940303
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,201670.3777,216.3448389,0,0,216.3448389
0x8E3d6c8F591d73eBcF79810ebC4b3aDF829d2fB6,0,0,176,210.3130284,210.3130284
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,17.40122055,150,179.2440583,196.6452788
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177329.3574,190.2326544,1,1.194960388,191.4276148
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,0,0,150,179.2440583,179.2440583
0x60c4ae0EE854a20eA7796a9678090767679B30FC,908.6559234,0.974773894,144,172.0742959,173.0490698
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,110,131.4456427,131.4456427
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,48036.69552,51.5320657,65,77.67242525,129.204491
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,0,0,100,119.4960388,119.4960388
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,53187.53403,57.05770284,47,56.16313826,113.2208411
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,1461.132943,1.567451674,90,107.546435,109.1138866
0xBfe09443556773958bae1699b786d8E9680B5571,92727.00964,99.47425196,0,0,99.47425196
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,44069.71767,47.27643236,40,47.79841554,95.0748479
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55305.12905,59.32938378,29,34.65385127,93.98323504
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,59522.36531,63.85348548,24,28.67904932,92.53253481
0xbb7F88d4230e817C38B5f2c2c4eE30eF796e12bc,72024.72,77.26556882,0,0,77.26556882
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,16.26475385,47,56.16313826,72.42789211
0xa33Aa58FD2795eA89a84C19CACDad50915194980,3105.050667,3.330988388,56,66.91778175,70.24877014
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,35.41023879,25,29.87400971,65.2842485
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,49284.87448,52.87106788,10,11.94960388,64.82067177
0x62C239F8f0999De6BBee0704bc888bE30A248C0A,60214.52582,64.59601077,0,0,64.59601077
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,132.1370603,0.141751959,50,59.74801942,59.88977138
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,183.2672691,0.196602636,48,57.35809865,57.55470128
0x9ff84B91998dF96A6587DB8dDe8D4E47518107d6,52693.22742,56.52742821,0,0,56.52742821
0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,56.50776902,0,0,56.50776902
0x2f2B6FcD1050eF4f406f314897D08dF1c327DAb6,52123.73385,55.91649568,0,0,55.91649568
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,41747.8357,44.78559961,9,10.7546435,55.54024311
0xdb9d281C3D29bAa9587f5dAC99DD982156913913,49665.50985,53.27940003,1,1.194960388,54.47436042
