HolderAddress,Balance,PendingBalanceUpdate
0x1f0aa72b980d65518e88841ba1da075bd43fa933,2093322.86,No
0x84ef9d47a2b1cbfc2f011f886287ef44f08c80ab,246367.2218,No
0x6cf9aa65ebad7028536e353393630e2340ca6049,201670.3777,No
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,177329.3574,No
0x6994ba66fd6789044c4ad43786cc16840d099c8a,144035.431,No
0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab,99231.29381,No
0xf036e411717bf8e123c245ff5a7604dabe0ab1ca,97394.54853,No
0x62c239f8f0999de6bbee0704bc888be30a248c0a,60214.52582,No
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,57197.39901,No
0x2848b9f2d4faebaa4838c41071684c70688b455d,55304.56905,No
0x5e672fe3264ab1947177aaca2add08a537c31c75,52674.90169,No
0xdb9d281c3d29baa9587f5dac99dd982156913913,49665.50985,No
0x0c1fd8441c36b288ec0f77e12ca8ba27a27b28bf,49376.12505,No
0xe5465ced137ecf8c80bbf7a1e2f2bf457a12a466,49284.87448,No
0xd98695e2fce07e908c9f523387b1b1f8eb9d41ec,44069.71767,No
0x2957dfa6c3cd17810e6f77fd9b14af1f27fdacc5,35589.61001,No
0x33f844352144a9ddd91542b0adcd8ba0dd142e93,33578.34581,No
0x3f7c10cbbb1ea1046a80b738b9eaf3217410c7f6,26159.1395,No
0x9fba5259a1a4654212849e87cfdf5b28d5bbcb5e,25660.83003,No
0x0bad4ebff09ced8dfffc2d99ea04108e1afab8b2,25617.63028,No
0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,25499.47843,No
0x4a39bed3f97ac8e4774b7407de7090e7a1050a69,23168.77551,No
0x1163e75d2bf3e0ffdb3602fbe0aba099d5c20e3c,20978.37139,No
0xd2eeff73117c86c14f11a6052620848f8dd6e0c8,20940.48295,No
0xccc3ce05b1d1b4e4a72e2052b98b1de8e60593e8,18628.94952,No
0xe7793581460b2c5c088ae0d6465db6fcd33f3e43,17417.60539,No
0x156e6c5a2fac34bb2fcf2ac1bbaa0e75bde3ac4f,16220.91259,No
0x985116f8c174fe13325d36685424d1796cc11f51,15294.95941,No
0x2c123fc5c27888571cd525e8ae9b0c5ff848386d,15161.53133,No
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,14898.25664,No
0x64df7af696e0977771a0e1e1b1a8dd22ded3cf4b,13859.95893,No
0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,13792.71602,No
0x0c9e1ec8db2132ef656b250b6aecead3d0313b08,12898.35783,No
0xbba31530cd8e112be845da468b72fbbfe739387a,12408.78798,No
0xb74125df13cb9194d93d8b62e0db30352f2b8001,12195.90506,No
0xab9786a5e330b50e44579132b8a3cf7c1c3a9517,12007.60318,No
0xc0719b1040f7f8e904a6509f99335656c1d881ed,10333.48114,No
0xcc6a751a0e644b445984d74f176e9babf46b2a97,10111.22132,No
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,9969.430023,No
0x88512cfc901adb8e17a143310700d6c4bf036f6a,9884.530139,No
0xdac12b6ddbf055ee542f0ed460a32d1e9f361ca4,9874.195167,No
0x5e5ffef1103717f17a9a155d0c7646ec5e16551e,9124.779858,No
0x6fcf9d80e2b597f4b3fa764b5626f573a9fc93d3,8910.834765,No
0x071d217637b6322a7faac6895a9eb00e529d3424,8557.629532,No
0x260edfea92898a3c918a80212e937e6033f8489e,8351.889807,No
0x6c8e15ec8e35b6ffb246d60abca2ba81d4e247f4,8155.718028,No
0xab2e11c99d8830d5d9b2494a565c974595e39eef,7766.914386,No
0xa919538ceab5c64608945865835dbc10540feb1d,6833.464239,No
0xc338f8f06aa7bebbcc3660f096771d159db346cf,6437.552695,No
0xd52a4333bd8cc9ab3c77df19ded4900b7849a07d,5936.277503,No
0xce9332f4d44e9efccc64f88c9bd23e288c0ae5a2,5916.453359,No
0x7bb85b553c04cf2dfcbbdac998ea3621e17236c3,5379.658021,No
0xdc7aa225964267c7e0efb35f4931426209e90312,5330.793375,No
0xb2ac25160796b5e384edc1fd8f4479a020c1b53c,5082.337021,No
0x6900c1f8e31b786ad9a85219d6d3fca20fedbd3f,4974.118617,No
0x1d5bedf6b017a282eb7446e86e7c2584e89ef466,4944.76657,No
0x59bdfb381ca2080d0d042903e776d3dcb548050a,4855.556075,No
0x3cf4e2f525c3e755c4aae97846379ef703252288,4776.696524,No
0x6186290b28d511bff971631c916244a9fc539cfe,4766.856555,No
0xe2c67350d0a0768de07e556073beeec0ae86a684,4710.67901,No
0xbb899870561d48e823ddfacffa201dc20214a530,4389.824831,No
0x5c108a3889101991e47b7c9ab47dc7c5c6de583b,4295.943534,No
0x1915fd19e19858f815c924df8d2d6e7065f1e547,4288.678593,No
0x46077ac2f9f1c76c075b5964e4dcc02ef441c8eb,4236,No
0xa0cd89ebdd3c422925696bb1baefb6c3ed21d8f1,4073.51511,No
0xa7687975c0af79f9d821cd27fc01722a2ec0d8c3,4039.058446,No
0x581de43b0273915f61d015e394d2c6af1f9ce8e6,4030.958707,No
0x72d395ad477aa50c219905181e9dfc4020539f28,3985.817094,No
0xc1839cea93bdfdf29e08ae3f351813fe7e89afb3,3916.5213,No
0xd281f988242c900d67ff2aafabe683b8004ee778,3867.861985,No
0x973efe3a49aa9257e2a5f1e7e866df7e5ee96d8e,3860.17062,No
0x4e8ffddb1403cf5306c6c7b31dc72ef5f44bc4f5,3677.771028,No
0xc144e32f2a0db6507fddfa630628b80468c05b75,3544.765566,No
0x5f8c61ddf6a4d971866c5923409293fc36a6041a,3146.404376,No
0xa33aa58fd2795ea89a84c19cacdad50915194980,3105.050667,No
0xe02c707c40c9184a5bf6c3ab1ca2609f32989822,3026.046517,No
0x628cc4601166a44e5378717790c8da50de0cce9b,2927.641728,No
0x5abdf1bdf263963601d3cc57d14723465d9fc505,2876.231726,No
0xeff1c603739cc71025c23b49c4d661e6b3df8184,2794.56158,No
0x748a9fb91ade6d9cd48ab1d1af6f4c27620b703c,2723.84571,No
0xdbd30b8a960264a5d0af925666199320ae3e629d,2681.808128,No
0x708800fbf7a7e8e65b1d8bbf651c5c32019e7325,2658.673923,No
0x70c9666b338795ddab8f4bd67f580b1d9234b8dc,2600.562916,No
0x7a8b10716e2e473a541e9e990e711651425e5413,2572.810486,No
0x73719c0c85a430ab716bafc6a2a6768e40f7d334,2537.376597,No
0x6ca0d65fe5c8700a5cc7a2c3bfe801111a1ded1a,2434.573526,No
0x2d5f86cd294ca6c92189340eaeff41fc63dc66ef,2311.956028,No
0x68db64a8cc0aea50b479bdd5bc3b3dd5e5821ed4,2260.265543,No
0xd32f222283d295f93664b11faac967e6826b635f,2235.604164,No
0x002d2715b179d0db3e17cc28317a98f2f65e6884,2211.38566,No
0x31849cbcd3ab8835455296ccdf77ad78af99196e,2194.896677,No
0x9b328488a8f0fa20628bb959769f0ba78de06466,2154.470929,No
0x41ade9a5803b4676917411dbb439d357965dbf46,2127.733397,No
0x10df55ee5d2977f952f3f264b9e8218d699b36b1,2124.176606,No
0x8261f170d2d081e33ec95c23a0e05435b932b9fc,2115.557477,No
0xbb848bd68e52d7da5a8921e637e38079ee0728d4,2054.827116,No
0xc61b244fa2b83efe9ef91da7390ca5fc1cbb35b1,2021.921997,No
0x3d16451a4b73e778bfec126025ba79716a17e32d,2000.009798,No
0x934dff4d5e1a5138d9863f38ab959b07046dba45,1995.249503,No
0x48a7bea12a800957113662d27468fd1c9e8d42aa,1970.413585,No
0x65c2433db1fb9e6eab8be06460d599b3ab645d58,1942.789634,No
0xdc25324b8186de47a976191a54ea0366428af632,1922,No
0x0998460853abfa4d8ef6f2591aabeae4d060fb93,1843.845698,No
0xba96a2ba89ea249148ee599d2bbcd669de94d4b6,1820.853504,No
0x71a0adb369da76e300a9ec9f6e1ffcba6e185182,1757.233191,No
0x579ea3f1e0617aa237e36c0501822b55be8d84ed,1696.28197,No
0xa8bd174385b14f880f8b7f06894cc1bf265db32e,1689.670201,No
0xc83d2035094e05d7a83bea5f92480abb3577228b,1683.824788,No
0x29e9315ddbb5c44717d64bd6c0550a692819413d,1678.677504,No
0xc0afef712a1341ca78da145b2afad346e8c3574f,1621.341047,No
0x1d4ddcb0e96d99f417919bc9c94b8348dc837a32,1602.696152,No
0x0091c05a50ef584f09c5c8b813a207198643788a,1596.873337,No
0xb910119f8b1838a95f9fbcf575e51e1e72469517,1582.453457,No
0x2b62cb060e78500b482a02acc7a111b62d46e5a9,1535.933389,No
0x6b2d4ac2655c55712340d071d9bb030eb293e3e1,1523.344954,No
0x5642111a57c82f2f50716c397eff0eefc25a2501,1509.79749,No
0x38048af4da7d79d2b553836a6d4950d0ac4b60f7,1477.779923,No
0x6c78583d25a1bb5c39a87c7bde2ccc82870277a4,1465.804666,No
0x6d881ed51c6e660a44901a81be6363b68f5d8a37,1461.806442,No
0x795f50722cf5ad82f78dda8dc8f7b235332977c3,1461.132943,No
0xc976895017c81ac926478c26c347bbed202d0508,1414.863872,No
0x3fa9db8d720679e8e5213f6c5d88fab766058e20,1403.244537,No
0x4dae5b5bf3dc068bdfec47b8b402aff28fe6707f,1357.538053,No
0xae5b56ca47e84b6c749e0454680c4161b9da9790,1331.638281,No
0x92cb71850aa43263ebaaa1e0ed3e78cb984915ff,1298.087792,No
0x288d3b021202293788d76f76947c74a65450374c,1291.661168,No
0x4958ce329ed1eb97e02c59cb847c692941081219,1290.109032,No
0x001900845643957d031ecdb3c5fd84ef08f6aaca,1249.951734,No
0x33caf1e780fc8a92247f42a220caeafde3b5d553,1241.060588,No
0x0b6bf854cb7c816518a96317893e43ab219bd365,1219.027265,No
0x34263200f4236aa7f6e1df98e87af7df1210f3ad,1188.686282,No
0x97131894a68066f467d81760fa71e851c9a8623b,1183.151862,No
0x3cd49c9ad5766fb4a19a42db15e516480dc58673,1182.244051,No
0x68cc67e6899be5a34002091449cb8860b132cca3,1181.505782,No
0x25955561740ee18502b1a329a664c2cd77b23e48,1131.325336,No
0xdd3fb1acb6d176852e70aa736e9ef11ec6d2b251,1129.292744,No
0x2a08fecb8ac932cb7d3f6a3a0e434a4b9968dd56,1119.602991,No
0xbe1505483148122424cd67aa7f956362ee5e3f47,1119.403142,No
0x7a1f999a9501d50861cd54bd6dd2a001eb6ed807,1022.936867,No
0x4bd69a8ceb37b52aa03df9ee80a58f94d6a1fb33,1021.946711,No
0x8feebfa4ac7af314d90a0c17c3f91c800cfde44b,1019.559992,No
0x3172aee5e0b47bb23e87db93327f58e06e6a73b6,1015.256748,No
0x13cb2a37ce9b30f1ba27f527347dc636e33272d7,1010.192253,No
0x60523cd3f5cf0061c6f042545371fa6ff8cd397b,1004.969693,No
0x552398406eaf406c6a9a52c7d7d3c601e588dc98,1000.449193,No
0x0604e36672dcc192c4880dfc7fe8b39ac8e3542a,1000,No
0xb1f56a37738c16d150c9aaa5441f056e65f4fbd6,997.5611799,No
0xfaca00c761491e853f9336f378d903d87b77b68d,996.9275904,No
0x2b95890732184b1017cf61cd92b0e42cb8b3ca17,992.3110684,No
0x0bd93eb28097cc848649d8d4cb429536fc448b30,985.7259703,No
0x2717c5753df40110905921d77a64c921e1467221,966.1130035,No
0x59f76c18a614085e16a0b9e8455b8999f76b0dca,956.9841819,No
0xca247f64ed79b76b2555971b9eea802c68d1db2b,935.8707005,No
0x7f63921d9fac69a6824dd3ef5fb8e1a89fcc984d,934.1947374,No
0x60c4ae0ee854a20ea7796a9678090767679b30fc,908.6559234,No
0x6b0ab64ba82dab64130fcd7dc1e2f803f7aef730,900.7278039,No
0x11f11dafde2ed523cd935184dd28876ce52f1652,891.8566931,No
0xa48e6b30e7b3482cd8415bbf502cdddc29a2e096,884.5434492,No
0xf5be11915496f1f4ebe822943a537ba396a88ee2,876.7493065,No
0x6b3be6c88c8875168c694e57e62d1de554ee6902,825.9387765,No
0x8e13649613b774ab67d1c1edfc22a2202270fd81,812.4865344,No
0xf17faf9978b2f0087e6c78553ede42d15abf76c5,786.5670815,No
0xa9bea5c0c25e4d02d56cbfe9a7564c3ccf599617,780.0659609,No
0x9f32b5a3a6a21df1671c74372f18415cb3fcaca2,771.539128,No
0x968fea58d680060ca1c547884ee40a02a8b53c23,764.3352988,No
0x65f80893c4f177882281f654c386e058f8e10df4,763.0525812,No
0x6c3f5990c0b31e17fc5c9f728819eac14d6f3926,758.9422774,No
0xcf3c8e131ae0838d973bd0711e34f3199cfd2949,756.8576743,No
0x4572581fc62d4477b9e11bb65ea8a1c306cbba3d,755.9910713,No
0xc81c14281aa00864ecadbc3768fb08edc9817b21,738.9530302,No
0x639e82fdc52b3e6e5dca32ada7d73270e21903a8,733.7648866,No
0xdeba9a360c9da03e5fb30d617b6d28426e3c7fc6,730.6340916,No
0x1b51a36bb32ba6303e76aac15ef2058d362a59f9,726.843031,No
0xe6374801ac57d72ae89e2bf56c7bdb61fca90c30,725.5000532,No
0xd95efda6a57aea121d2efcc4dc0f14a93d5502aa,720.1665699,No
0x192b5014cbce8d4e38f9117021e858bc15adac1e,719.7401053,No
0x0327d97fe559fb16b3c63d90927487186219283e,718.5737619,No
0xc9e3ff1da87f942a54e91e83cef6dbe97af98a38,701.6838621,No
0x7fa3715bfffce74a55d0feca8f5e14cbefd4c412,679.4511578,No
0x84820de436c3acc9412e43ffe571737113718269,670.1780233,No
0x0630717c9c6baeabd2b0852e09df08febaccd227,665.3825659,No
0x17103203eb867da8f0d5545cba3894e743c33a06,662.6307184,No
0xc87e3788764823ceddd132ca2e697767de5ed4de,658.5754456,No
0xedd0d71f2b7703e1642ea83d8a6f9790acda1fda,648.3155417,No
0xad6034c145530682ed7643478b6678e2e2bbaad6,642.854067,No
0x24970b51dd29dc2dfa264cd51c41998c68e3d7e6,642.519336,No
0xd390fc3c23ab8c8bd20416f1abcaac05637ac501,640.0758084,No
0x4cd3210ce0e7aef75ecff5475b75034dc328b1d4,639.8530761,No
0x475476708ae9d5ee62b0e977aa37d4dd16281926,636.4574756,No
0x62b5c94af16f8b5b53bed8da61ecb5ba41c14931,633.9939567,No
0x3dd1b656fcc459cc4cf203b53aaabf8c85181f1d,622.2833723,No
0x7909759b82eb27ab3cc886c5f3fce3a72a565b39,619.7070672,No
0xb4d502361a3c6f823eeb9a99af09e110382206ee,618.351521,No
0xceec48581b3145a575508719f45da07dc57fa7ce,617.4903704,No
0xd1d7eb1d3cfe65d5597f8185e76353ddeea5199c,615.9197654,No
0x7821f46f652d5485d6e4fe3b66f30da3351fc6f7,614.1047926,No
0x750b482c447700d5e17c0b8e6178a54e3769ece3,613.59929,No
0x9702235d4999201f3ab13226232942593e84b576,612.5627873,No
0xfbe011e5c3a81d5e00888b7705fbfddbc6b7a17b,608.2414324,No
0x7a1979a89c39e64b4c2dc6fd87f4f719ae96a0ec,607.1754211,No
0x10e11e6443904faf15cdb944f3e99c321ccc6199,601.2360643,No
0x503b3c4e70803c67cd9ab5cd3e6ff765354d09ed,577.0152043,No
0xbed58fa67bd966a40460b42f065dcccb0fd4fe4f,573.8558691,No
0xbe19c6549874591367f0e1f91ec8aca01ae7b2af,571.1497687,No
0x870dc279570833a8c5a72fc7972681db9a96cfb7,565.5210079,No
0x680800f9e4a4bf3d61856beb12f58f0f62c99257,559.0274585,No
0x481a2be12532d5cd1295239557168d01c5d09708,552.2150525,No
0xda9890c4d573fe27f79c0665ae7e740c6a11412f,551.5666403,No
0xa5ba6ae9cdf56761be100a33de63363660ef744a,544.6010008,No
0xa11f19d27a73c6dfb7a700175357c1dedf79367d,537.9738511,No
0x34ec9c1d89ce8afa701d079fd908fca95f49667a,532.8240261,No
0x94046b4000fefc937f9ae219e2d92bf44a36393e,526.8395938,No
0x78e70c3fba6c44c562e50c8fec9b1871cb1a3f8d,526.6761908,No
0xda5d339742caac045b625a5dbe240162932f2c10,506.4847023,No
0x58c20084c7b26817620e08745aa0c907ecbad2f0,499.5469492,No
0x04e60c358da4d51db8c7be369b94039af465adff,497.5777032,No
0x335d81bde46e127228b1e6a767b9a5a764bfcbde,493.8627815,No
0xaa44cac4777dcb5019160a96fbf05a39b41edd15,492.6467826,No
0xf1cd34afa3e93559ef2e26e06d39a1a707be4fb4,492.6112572,No
0xde46215e67d35972f4c880d59969dd08a4c9fa28,488.5453508,No
0x6794bda8e07faa690d6924b259992ed354aec9bb,487.6539922,No
0x4bc0d1333d0a2aca84c52a96c089798a1f41dbc3,487.5212918,No
0x9c330a97c3dd093f4b514af6cc2f531ac0cb084b,482.7299861,No
0xdbd7744f7defbcffc0a327ae289ad6345861c467,479.8136854,No
0xdc01f5c0300d3cdee505a04d633b71269af18421,478.6217155,No
0x59e5fe3a536d2fa69614e0a0692f5c6e3d6dcbfc,477.2923987,No
0x9730299b10a30bdbaf81815c99b4657c685314ab,476.3830751,No
0xdba64f019c92649cf645d598322ae1ae2318e55b,474.646503,No
0x139267b135942416e1d2d9cb8e67b8a4ff213557,469.6366569,No
0xae8e6cd806ab8c593984ba275b4a2e45b27986eb,465.258619,No
0x83febcf72458393a3957cc9793a9f04ff59a3d45,456.2502108,No
0xc81f4ef4fbb4fb8e7b92c99bb20e8afd5d32d50f,454.5714496,No
0x44a529f72c9f5888c69e0f4a2614d91fd289af7a,453.3384812,No
0xe9af007819204ae349808a8c12c2c5134c6a1f33,450.1659673,No
0xfa5ec0f794d1a7b96b3ea6d8f8bd6474573db0e6,439.3754107,No
0xd4921407422a3e64f6ae78a0c38221a1119c8b7c,435.9590215,No
0x3a631b481a1b225e32d20c28bb531587e9f32da0,435.7075006,No
0x22da1eedebc60c1b8c3a0c48f5c81bbe2b943dd9,425.3690081,No
0xfcee120094854fbfdc98ce8a80b8057bdeb928a7,416.8058737,No
0x3d2b23962ebcc882f9f65452658bbba9fa72d170,408.7169652,No
0x0545a605a6b0c42bb5bd01f918e17d7347095acc,401.9286145,No
0x64ed2d64912e45d004a64b0f9f3d759533c395e8,401.7825769,No
0xc3ee951d510aab239a5baf329086dd10a6a80629,399.305951,No
0xfe3f16b1cb7ce908b5386f6643a691526d2a0a84,394.6660072,No
0x29a4a663c6b44e4a9b49a429ef09bf3ed3fbf9f3,393.862752,No
0xdd0d9308906a83572a0dbe6c0e77b43c8913d013,392.6338433,No
0x88d5eb1993dd04bf2175f940e64fd49a90d13f8b,386.4514293,No
0x9df0b9794b7fe8ab2a1e075e72472b490e7e18fe,383.7907557,No
0x518a8463ffff4435431d889e507fa1a9e1c34502,378.1911448,No
0xad1a74a31b00ed0403bb7d8b11130e30ae15853c,375.6727076,No
0x0d03fd0320d95e5e579e5567abd7b1ffd18cc0a4,374.3480206,No
0x1f8c994e19a43fd3da251ef06c8869e6901307cb,370.5732199,No
0xd98b668744767ae6e9f437c0a09c4e414e05f832,360.9661469,No
0xc19fea1b78a7e21e77b3160c10e69a3869a7b75a,355.6631806,No
0x8a26529afddcf6db1f54a8f24b6834b0761b7e66,349.1125956,No
0x9720bb804aca0a01bff95af749b34eca59ed5fb4,346.1752884,No
0x49d2ee9822027e4596f9cca57c1b52285b1e938d,344.8046833,No
0xc0fca04ff8721462c53d848610818b25427b5b29,333.007736,No
0xa59e113fbef3b4129baef6b5355dff683851afa7,331.2638785,No
0xb19bc46c52a1352a071fe2389503b6fe1abd50ff,329.4043658,No
0x16a383b0853926a0a43a809c7a9990df7b4bd98a,329.18095,No
0xae53c04d9bccc1198167e538782805546f851603,325.1545495,No
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,321.6751312,No
0x61477eaa5e33400acc353390ca001be0eb706eb4,319.8452097,No
0x4faf6d6819a7f9085ba6587b867ec6ac20ac6641,319.4678812,No
0x0464349e7012a83c965d672e9eca3896a1260624,317.8048704,No
0xcbef46a7cbe1f46a94ab77501eaa32596ab3c538,315.316155,No
0x956f1ce3ff2ea59a8b41df83ce9f85ed59d73f92,315.2072079,No
0x7da08fba7a69c67c0d06fd433af0c53f9c75cee8,314.5318274,No
0xa8365f08e933b46cb247643f36e4c9d9b4059678,313.1749819,No
0xf2b9ec5724dc97362a53907c0b4cc0aa72369e63,312.8881557,No
0xc0893fa01108f50fa2a04e2ccee815376ec56233,309.5878709,No
0xcd8eddd0a27047d53d65f23d483a8a169d54526b,306.1961099,No
0x4d64152d23260f399af956c6a777740cfc263d1c,299.180799,No
0xddf86597aff5c826643bced8ef0b84b10a2847ab,296.5294,No
0x3bac1185ce631d2aff051c4894beaf4071be1993,296.1579324,No
0x67b4f300e6623dbe6f0358a87b16727781df2160,293.7244276,No
