Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,558386.4022,547.6636271,32,38.68359876,586.3472259
0xd281F988242C900d67fF2aafABe683B8004Ee778,260526.6028,255.5236726,173,209.1332058,464.6568784
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,374233.2992,367.0468429,0,0,367.0468429
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,97.32574089,185,223.6395553,320.9652962
0x6994ba66FD6789044c4aD43786CC16840d099C8a,144035.431,141.2694978,92,111.2153464,252.4848442
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,226380.5909,222.0333716,22,26.59497415,248.6283458
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,241.6361963,0,0,241.6361963
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,0,0,150,181.3293692,181.3293692
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177309.5574,173.9046563,1,1.208862461,175.1135188
0x60c4ae0EE854a20eA7796a9678090767679B30FC,908.6559234,0.891206872,144,174.0761944,174.9674013
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,83521.80916,81.91792775,65,78.57605998,160.4939877
0x8E3d6c8F591d73eBcF79810ebC4b3aDF829d2fB6,1405.858263,1.378861363,126,152.3166701,153.6955315
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,110,132.9748707,132.9748707
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,21542.49533,21.12881167,92,111.2153464,132.3441581
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,995.9110479,0.976786424,100,120.8862461,121.8630325
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,88351.25176,86.65462986,24,29.01269907,115.6673289
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,53417.16637,52.39138878,40,48.35449845,100.7458872
0x17a3831B39cc557296d0C322f9C2D42C0b3A8F3f,0,0,82,99.12672182,99.12672182
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,2347.538128,2.302458013,80,96.7089969,99.01145491
0xd757f002d43DcB8dB9A4E43A8350Aa8cCcdC4e4f,25755.60649,25.26101784,60,72.53174767,97.79276552
0xbb73548A0e6F839fb58e9D59969Ba6AEdEcDF5f1,50005.49216,49.04522944,40,48.35449845,97.39972789
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55304.71179,54.24268739,29,35.05701138,89.29969877
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,14.87038224,47,56.81653568,71.68691792
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,32.37453151,32,38.68359876,71.05813027
0x2f2B6FcD1050eF4f406f314897D08dF1c327DAb6,66001.45978,64.73402418,0,0,64.73402418
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,1151.717637,1.129601036,51,61.65198552,62.78158656
0x62C239F8f0999De6BBee0704bc888bE30A248C0A,60214.52582,59.05821755,0,0,59.05821755
0xc0719b1040f7f8e904A6509F99335656C1d881eD,32006.01576,31.3913996,22,26.59497415,57.98637375
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,49356.73495,48.40893041,7,8.462037229,56.87096764
0xa33Aa58FD2795eA89a84C19CACDad50915194980,0,0,46,55.60767322,55.60767322
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,52356.32357,51.3509175,3,3.626587384,54.97750488
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,27596.21019,27.06627617,22,26.59497415,53.66125031
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,43389.91831,42.55669542,9,10.87976215,53.43645757
0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,0,0,44,53.18994829,53.18994829
0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,358.2525805,0.351373004,43,51.98108583,52.33245884
0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,51.66337792,0,0,51.66337792
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,23558.96076,23.10655462,23,27.80383661,50.91039123
0xdb9d281C3D29bAa9587f5dAC99DD982156913913,49665.50985,48.71177586,1,1.208862461,49.92063833
0xc0893fA01108f50fa2A04e2ccEE815376EC56233,309.5878709,0.30364281,41,49.56336091,49.86700372
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,48.42794816,1,1.208862461,49.63681062
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,183.2672691,0.179747961,38,45.93677353,46.11652149
0xC68C8452be34032ab999787796AE0fAaf071e054,0,0,36,43.5190486,43.5190486
0xbbA31530Cd8e112be845da468B72fbbFE739387A,12408.78798,12.17050022,25,30.22156153,42.39206175
0xCeeC48581B3145a575508719f45da07dc57fA7ce,2471.080061,2.423627552,33,39.89246122,42.31608877
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,3221.748666,3.159880959,31,37.4747363,40.63461726
0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,33258.659,32.61998814,6,7.253174767,39.87316291
