Wallet,Balance,Type
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,50000.142745794009811468,wallet
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,27595.710191188515981693,wallet
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,23142.092438595319335362,wallet
0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,22086.923801730153431784,wallet
0x3cb76EC20b4f7C1871696520eCC50e44be7244c5,21258.684861952479529072,wallet
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16219.297199264221636470,wallet
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,16198.583199931286480613,wallet
0x1915fd19E19858f815C924Df8D2d6e7065f1e547,14999.948251276873340730,wallet
0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,12737.206057571756997282,wallet
0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,12192.612979897087913883,wallet
0xE7793581460b2c5C088Ae0D6465DB6fCD33F3E43,11951.147822143565443499,wallet
0x985116F8C174fE13325D36685424d1796cC11f51,9999.916549545192428306,wallet
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,8512.804787106487393323,wallet
0xbb899870561D48e823DdfACFFa201dc20214a530,6599.977230561824269920,wallet
0xdc25324B8186DE47A976191a54ea0366428Af632,5003.585605528407057333,wallet
0x10752aE123f8F65ee7609B336C77bb941C584bBA,4923.958908996052751698,wallet
0xE2C67350D0A0768De07E556073BeeEc0AE86a684,4710.646139789466159507,wallet
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,3221.738885236751112366,wallet
0x5F8C61DDf6a4d971866c5923409293fc36A6041a,3146.388987866809869932,wallet
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,3000.863096129703878400,wallet
0xb6E92D077591b064F48Ef68E2074d6Fa4a0C2cC6,2899.291624259659099917,wallet
0x5AbDF1bDf263963601D3cC57D14723465D9FC505,2875.462843693991397695,wallet
0x7909759B82EB27aB3Cc886C5f3fCE3A72a565b39,2760.576245296115906111,wallet
0x77f07Ab7B444C7C9FCfAfc76c053A810cD6203CB,2735.949812416612134044,wallet
0x7A8B10716E2e473a541E9E990e711651425E5413,2572.186598840579395194,wallet
0x73719C0C85a430aB716bafC6A2A6768e40F7D334,2537.355422874014245291,wallet
0xCeeC48581B3145a575508719f45da07dc57fA7ce,2470.979379392617049034,wallet
0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df,2418.991654655917107415,wallet
0x7af4922fc22037D573e889201bE7C38E42f22220,2107.332729856387084390,wallet
0x7264E14a050fE6A383C654448FCc84d7A4b9eC94,2067.528978989798226867,wallet
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,2050.812924845575825640,wallet
0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,1989.873394277448296114,wallet
0x6B2D4ac2655c55712340d071d9Bb030eB293e3E1,1522.842664394105575539,wallet
0x38048aF4da7d79d2b553836a6d4950d0AC4B60f7,1477.767591288038250747,wallet
0x6C78583d25A1bb5C39A87c7BDe2cCC82870277A4,1464.987774508370690747,wallet
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,1356.988675773282612521,wallet
0x3A631b481a1B225e32D20C28BB531587e9F32dA0,1279.045884166756982566,wallet
0xa8bd174385B14F880F8b7F06894Cc1bF265Db32e,1271.427567569703193694,wallet
0xe7cBB8D73E5ca000816910f100D60b5Fe33588f7,1263.778735494280838399,wallet
0x68CC67e6899bE5a34002091449CB8860B132cCA3,1181.495922231368748546,wallet
0x63b79704DCB7FbA6Ca46baEa3DB68639924A41DF,1024.739634538854655040,wallet
0x3172aee5e0B47bB23e87db93327F58E06e6A73B6,1015.241527692575661283,wallet
0x956F1CE3ff2ea59A8b41DF83Ce9F85ED59D73F92,1004.996532835550513827,wallet
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,999.996500084798458534,wallet
0xedfb6Cd3069fe177C1cBe63C066Cae12D754d124,999.704699966392727770,wallet
0xC4fe12630fEffDb5Ee72eDdCBBB43b595407442F,985.135899562758166544,wallet
0xafae1E9EcD3a355b93960402E875b886f718C55E,983.777236040570717305,wallet
0x157DD18CF70815dF7c25948ced9760aA61f6DF17,952.160028145565794733,wallet
0x612356EA7E7F2D9d9BDC1aF83043Eb6f14061Dd4,929.139800999966708553,wallet
0x11f11DAFde2eD523CD935184dd28876cE52F1652,891.849250556570114740,wallet
0xefb3141fF2CC4BAcC32274560F67Ce44A02b47a2,879.996964074909902656,wallet
0x08888Ce68d8dE3d2616f96270f06B1b6fB3A18f6,861.467583619331293174,wallet
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,825.923107576586078231,wallet
0x8E13649613B774Ab67D1C1eDfc22a2202270fD81,812.479754166509697145,wallet
0x0630717c9c6baEAbd2b0852e09dF08FEbAcCd227,799.437202027791279690,wallet
0x6c3F5990C0B31e17fC5C9f728819EAc14D6f3926,788.487245829560201154,wallet
0xAF777F6ff15de8d50527208d8cbd36576b213f97,787.141198934003020440,wallet
0x65f80893c4F177882281f654C386e058F8E10DF4,762.993842089115337442,wallet
0x9f32B5A3A6A21dF1671c74372F18415CB3FCaca2,733.993649420389143794,wallet
0xdeba9a360C9da03e5Fb30D617b6d28426E3c7Fc6,730.395556262820118978,wallet
0xe023d9eaD98a431A88E913629599884839cDF92f,680.414269465557353142,wallet
0xBfBD59C39f83068Ebe8EF181B927B85400222292,671.467683485658809473,wallet
0x36eFd9914d30b16575429516bfFf0f196062DCe9,669.104416246618370570,wallet
0xfbe011E5C3A81d5E00888B7705FbfDDBC6B7A17B,638.735619239255543957,wallet
0x62B5c94aF16F8b5b53BEd8DA61ecB5Ba41C14931,633.988665959360996416,wallet
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,618.346360811486601165,wallet
0xc15E011B8E117FbA8cC241C70950fC79f515AB3E,617.425486923797477938,wallet
0x575C13C07b054438a513f4968605c021856f63F8,616.250527605289994180,wallet
0xbed58fA67Bd966A40460b42f065DccCb0fD4fE4f,573.851080234871739006,wallet
0x2718E86f5793Ac08bd3C4A301382E8c1DA2a1e30,561.312923591631593007,wallet
0x8B8B67CD569882e9f200a58e875802e5017D88c0,538.858900137707989884,wallet
0x15252F0327D916Be16b4FE23a6e846c223fE9CdE,534.511499383867006912,wallet
0x59bdFB381CA2080D0D042903e776D3DCb548050A,500.000000000000000000,wallet
0x58c20084c7B26817620e08745aA0C907eCBAD2F0,499.425812763990947674,wallet
0xf1CD34aFA3e93559Ef2e26e06d39A1A707bE4fB4,492.607146354253530905,wallet
0x9C330a97c3DD093F4b514aF6CC2f531AC0Cb084b,482.718310520933911903,wallet
0x8DECE035358D2604896c81b82c3ab6FfF3596388,481.998337141030196682,wallet
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,446.226276190355121726,wallet
0x795ae2Deb3109f766cE1D5284e30a477c016dbeF,431.996394940352312902,wallet
0x80adc6DA57e97F33035899962278A5FAfF8492E4,388.995648581995917968,wallet
0xCea93BAeE3e532163B303756AA295D11304d22cF,382.669421547679637138,wallet
0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,360.488738315568996317,wallet
0x8a26529afDDcf6DB1f54A8F24b6834B0761b7E66,349.885733019507760210,wallet
0xcBeF46a7Cbe1f46a94ab77501EAa32596Ab3c538,320.473856122665678365,wallet
0xc9c026d92314aaA032cf493DB1058B143DBf9AFF,319.895527332121380763,wallet
0x8886DcA35291F05Ed5d8e21F083998EA8dcEB50f,302.988954710291990233,wallet
0xb7b1Cc940Cc88640089028d4910De22E39e6D117,296.927979718966788240,wallet
0x60C8EeD11cccAb1e6D75a825dd9f36d85d855c53,295.352776230942689828,wallet
0xAcba84F681250A027686B85fb4903f9F1C9caeF3,292.917208012747184320,wallet
0x1C494f1919C1512ebE74a5dCc17DAC9A64069023,283.342413568010826638,wallet
0xf5Fe364D18F4a5A53BADCe9a046ba74cfC97f6Fb,249.999137521281222345,wallet
0x19223782AD6556B0De843156E968270e32A5c10c,246.973664761075914478,wallet
0xc8d42ec0eA8f543E01bd49199f6a1888AE11023B,231.549988286752538759,wallet
0x5EeDe1C45E4401d7D95E55446dAd71B511328534,219.788165842453784381,wallet
0x89A1145FCCAC1a2a9350eC1A4A486E4458D26274,217.429239013437728839,wallet
0xA709f9904a4E3cF50816609834175446C2246577,208.118247029253658792,wallet
0x01712CA1676C850698bd52eD3973D5cdca71fA67,206.946065016347435620,wallet
0x34EC9c1D89cE8Afa701D079FD908FcA95f49667a,199.998330990903848566,wallet
0xb93aeb0E49f3c9E1F8dDb96460e44d478Ca1C505,199.940969243654766942,wallet
0xE352B26D34E303e3fAFe8BbF19746a618dB91a4C,191.369330221227881009,wallet
0x78B3367B0F547Cd16Bac453F788956AfcE92447B,173.948617794152334632,wallet
0x482d63381DeD49C5374C346F38fcb9cD27B5D2Ba,170.680626588850255794,wallet
0x56f820BC0bB5326C74b804CEbAA37C3EE7524f8E,166.809416179145230868,wallet
0xb7a0cf71A375Fe7a2152EA36a700499Dbd993867,160.131159971673099234,wallet
0x78C76e3DbE8E4081A42F4666c7Eca33F41678686,159.862258305797904405,wallet
0xBe9e265c78a22e31d6a41Fc2710D9590ED2d5a96,157.683422325699124951,wallet
0x521866351B73EAE5aCb8962469526B38CBE47372,153.705702513217873933,wallet
0xE012D8eCfF24057e3A47C93F44Ff6Eb9d1ba2f4f,147.973305944244598290,wallet
0x0839f5C6cd90FdF95de496d0196C1e6016954c94,146.364479859268313603,wallet
0x22CAb81E0FEe2bad5b015DbBEB6A374A1B8738de,134.698181799638386682,wallet
0xaA983Fe498c300094B708c3B48deDE9bd91A0183,133.601347283258726005,wallet
0xd34bc82B9092f5334056daC1aF8cd5d32aBc6802,133.081486997330700939,wallet
0x3b66bcA9b58ACb2e0894654f27EDC96fa1b6B0F1,126.858085312317565933,wallet
0x3f43a33Be58a84bfCa084d25328Af4Ae41678620,126.361426396756227764,wallet
0x07557E561E7baA14BC8ac7040271AA1443d566e9,124.999562510599807316,wallet
0xf7c668dFCACA968F2cE01226DdB15EEB7210CF1D,108.126055311994384449,wallet
0x0224b2311d5968fA00a42103788b2F4CCd0651aD,103.579639207902360930,wallet
0xF8F94C0733A28919dCFA6C52668C688234359D88,99.999165495451924283,wallet
0x10904e913f025d0DFe119D0D68A43c4754BB24d6,99.679651128452710346,wallet
0x01F55B5372eCaF891D1aF44f9197361362E9E2f8,92.945102674159353919,wallet
0x445ba6F9f553872Fa9cDC14F5c0639365b39C140,91.093190318216427185,wallet
0xD36F0cE237877C52c4072B10bbb51112702CB560,87.295111750893316431,wallet
0xfD9A9bCb6A7f3a26b7D0dE1Cb80458395429cc41,79.209726732242742487,wallet
0xAdf228a1A9E705CA02a998E1b1bC6f14B3Bba908,79.041297852752528814,wallet
0xc0A9281B18FBff16019f497be053cc9864047347,70.849755573531098412,wallet
0x8E3bBDeC40E33A8A5B90bF56C6D2692088406739,68.733924481077272128,wallet
0x282c8d5CAD767a93e1E042E33E7A15877A8E6A1b,68.320895095365879066,wallet
0xaA99157856D8785C3A0BAB85F070766554A1d882,67.954526577058189649,wallet
0xf85e13C32734eA54Ec31BE5C9b3E6ED0ae40cBad,66.686663229814680366,wallet
0x90b29f03B7b35326d72c83E414F200FF8B204CcB,64.913575630961734682,wallet
0x9942796AfeFEa0C2C651b80fA0024B46F5827506,62.789783379844991804,wallet
