Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,565982.3228,539.4543574,32,33.19169476,572.6460521
0xd281F988242C900d67fF2aafABe683B8004Ee778,273871.3007,261.0347718,170,176.3308784,437.3656503
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,374233.2992,356.6927372,0,0,356.6927372
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,94.58025751,185,191.8894854,286.4697429
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,226380.5909,215.7699831,27,28.00549246,243.7754755
0x6994ba66FD6789044c4aD43786CC16840d099C8a,148019.5134,141.081741,96,99.57508429,240.6568253
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,234.8198273,0,0,234.8198273
0x8E3d6c8F591d73eBcF79810ebC4b3aDF829d2fB6,1405.858263,1.339964757,172,178.4053594,179.7453241
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177309.5574,168.9989413,1,1.037240461,170.0361818
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,19692.26873,18.76927908,141,146.2509051,165.0201841
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,101592.0655,96.8303783,65,67.42062999,164.2510083
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,0,0,149,154.5488287,154.5488287
0x60c4ae0EE854a20eA7796a9678090767679B30FC,908.2309324,0.865661548,144,149.3626264,150.228288
0xbb73548A0e6F839fb58e9D59969Ba6AEdEcDF5f1,49962.45202,47.62067888,67,69.49511091,117.1157898
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,109,113.0592103,113.0592103
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,89768.72659,85.56120706,24,24.89377107,110.4549781
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,995.9110479,0.949232039,100,103.7240461,104.6732782
0xf09D1acBF092EC47970a2aA9e16Bc658b2ECf15e,0,0,100,103.7240461,103.7240461
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,65037.81051,61.98944536,40,41.48961846,103.4790638
0xd757f002d43DcB8dB9A4E43A8350Aa8cCcdC4e4f,27134.97035,25.86313636,60,62.23442768,88.09756404
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,2346.440404,2.236461191,80,82.97923691,85.2156981
0x17a3831B39cc557296d0C322f9C2D42C0b3A8F3f,0,0,82,85.05371783,85.05371783
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55297.57843,52.70574439,29,30.07997338,82.78571777
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,31.46127118,39,40.45237799,71.91364917
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,53779.20796,51.25854095,17,17.63308784,68.89162879
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,14.45090034,47,48.75030169,63.20120202
0x0628C084F4b72c1297e96C7005F309ae89F982A6,0,0,58,60.15994676,60.15994676
0x0c251946301468086e557760F55f2e0622Ef5FFa,46594.71527,44.41079017,14,14.52136646,58.93215663
0x62C239F8f0999De6BBee0704bc888bE30A248C0A,60212.89718,57.39067891,0,0,57.39067891
0xc0719b1040f7f8e904A6509F99335656C1d881eD,35132.01043,33.48534989,22,22.81929015,56.30464004
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,372.2342792,0.354787413,51,52.89926353,53.25405094
0xBfe09443556773958bae1699b786d8E9680B5571,53504.7211,50.99691947,0,0,50.99691947
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,43705.86016,41.65733762,9,9.335164153,50.99250177
0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,50.20599424,0,0,50.20599424
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,27596.21019,26.30275759,22,22.81929015,49.12204774
0xF381896eb9280dCb2099523149D42F7b1Ed43E9A,51196.87981,48.79724822,0,0,48.79724822
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,31292.32635,29.82563434,18,18.67032831,48.49596264
