Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,566540.2167,629.7535718,32,31.86968264,661.6232544
0xd281F988242C900d67fF2aafABe683B8004Ee778,275225.7561,305.9348619,170,169.307689,475.2425509
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,374233.2992,415.9894566,0,0,415.9894566
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,264564.9629,294.08456,27,26.89004473,320.9746048
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,273.8563536,0,0,273.8563536
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177309.5574,197.0933816,1,0.995927583,198.0893092
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,0.003814781,4.24043E-06,185,184.2466028,184.246607
0x8E3d6c8F591d73eBcF79810ebC4b3aDF829d2fB6,1405.858263,1.562720945,172,171.2995442,172.8622651
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,10000,11.11577878,142,141.4217167,152.5374955
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,2419.515897,2.689480346,150,149.3891374,152.0786177
0x60c4ae0EE854a20eA7796a9678090767679B30FC,908.2309324,1.009569412,144,143.4135719,144.4231413
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,66732.74684,74.17864512,65,64.73529286,138.913938
0x0c251946301468086e557760F55f2e0622Ef5FFa,100659.197,111.8905366,25,24.89818956,136.7887262
0xbb73548A0e6F839fb58e9D59969Ba6AEdEcDF5f1,49962.45202,55.53715639,71,70.71085836,126.2480147
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,91682.83703,101.9126134,19,18.92262407,120.8352375
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,109,108.5561065,108.5561065
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,4.78617E-05,5.3202E-08,100,99.59275825,99.59275831
0x6994ba66FD6789044c4aD43786CC16840d099C8a,2325.284795,2.584735138,95,94.61312034,97.19785548
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,5179.179422,5.75706127,91,90.62941001,96.38647128
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55297.57843,61.46756488,29,28.88189989,90.34946477
0xf09D1acBF092EC47970a2aA9e16Bc658b2ECf15e,0,0,90,89.63348243,89.63348243
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,36569.97872,40.65037934,47,46.80859638,87.45897572
0x17a3831B39cc557296d0C322f9C2D42C0b3A8F3f,0,0,82,81.66606177,81.66606177
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,36.69140337,39,38.84117572,75.53257909
0xc0719b1040f7f8e904A6509F99335656C1d881eD,37661.8521,41.86408163,22,21.91040682,63.77448845
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,38173.25149,42.43254188,19,18.92262407,61.35516595
0xd757f002d43DcB8dB9A4E43A8350Aa8cCcdC4e4f,0,0,60,59.75565495,59.75565495
0xF381896eb9280dCb2099523149D42F7b1Ed43E9A,53066.8093,58.98789127,0,0,58.98789127
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,44803.17139,49.80221417,8,7.96742066,57.76963483
0x0628C084F4b72c1297e96C7005F309ae89F982A6,0,0,58,57.76379979,57.76379979
0xdb9d281C3D29bAa9587f5dAC99DD982156913913,49665.50985,55.20708204,1,0.995927583,56.20300962
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,54.8854083,1,0.995927583,55.88133588
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,27596.21019,30.67533676,22,21.91040682,52.58574358
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,162.4971686,0.180628258,51,50.79230671,50.97293497
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,161.5313264,0.179554649,47,46.80859638,46.98815103
0xa33Aa58FD2795eA89a84C19CACDad50915194980,0,0,46,45.8126688,45.8126688
0x0BAD4eBfF09CEd8dFffC2D99eA04108E1AfAb8b2,25605.22386,28.4622004,17,16.9307689,45.3929693
0xF1E34bdc4D2316f27a5A61E2d5679292Faf67A4f,40000.00424,44.46311983,0,0,44.46311983
0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,0,0,44,43.82081363,43.82081363
0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,358.2525805,0.398225643,43,42.82488605,43.22311169
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,39.56062317,3,2.987782748,42.54840591
0xc0893fA01108f50fa2A04e2ccEE815376EC56233,309.5878709,0.344131029,41,40.83303088,41.17716191
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,16229.34786,18.04018405,23,22.9063344,40.94651845
0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,36279.9679,40.32800973,0,0,40.32800973
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,183.2056714,0.203647371,40,39.8371033,40.04075067
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,0,0,40,39.8371033,39.8371033
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,7979.162384,8.869460389,30,29.87782748,38.74728787
0xbbA31530Cd8e112be845da468B72fbbFE739387A,12392.20057,13.77489601,25,24.89818956,38.67308558
0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,22206.2377,24.68396258,14,13.94298616,38.62694873
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,19985.70626,22.21566895,15,14.93891374,37.15458269
0x7af4922fc22037D573e889201bE7C38E42f22220,18991.4006,21.11042078,15,14.93891374,36.04933452
0xC68C8452be34032ab999787796AE0fAaf071e054,0,0,36,35.85339297,35.85339297
0xCeeC48581B3145a575508719f45da07dc57fA7ce,2471.080061,2.74679793,33,32.86561022,35.61240815
0x62C239F8f0999De6BBee0704bc888bE30A248C0A,30133.04205,33.49522294,0,0,33.49522294
0xd553294B42bdFEb49D8f5A64E8B2D3A65fc673A9,0,0,33,32.86561022,32.86561022
0xe1adF48dFe386515e717977D0a30F01af289Ee30,15328.19182,17.03847894,15,14.93891374,31.97739268
0x3C25AE7daE49b3c24439549928BfC1DF60A0aD20,0,0,31,30.87375506,30.87375506
0x66ab6A57322aC5FD7026662675Db0E83307e025E,0,0,31,30.87375506,30.87375506
0xa532F169ceE0e551D4Da641031Ac78fd85461035,27337.05036,30.38726043,0,0,30.38726043
0x3cb76EC20b4f7C1871696520eCC50e44be7244c5,26417.39166,29.36498816,1,0.995927583,30.36091574
0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,9748.321215,10.83601821,19,18.92262407,29.75864228
0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,9285.198728,10.3212215,19,18.92262407,29.24384557
