Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT,,,,
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,566733.6397,663.6047831,32,40.09339525,703.6981783,,,,
0xd281F988242C900d67fF2aafABe683B8004Ee778,275600.6463,322.7087547,153,191.696546,514.4053007,,,,
0x6Cf9AA65EBaD7028536E353393630e2340ca6049,344233.2992,403.0727098,0,0,403.0727098,,,,
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,288.4784938,0,0,288.4784938,,,,
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,212053.1592,248.2991671,27,33.82880224,282.1279694,,,,
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,0.003814781,4.47E-06,185,231.7899413,231.7899457,,,,
0x8E3d6c8F591d73eBcF79810ebC4b3aDF829d2fB6,1405.858263,1.646160034,172,215.5019995,217.1481595,,,,
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177216.5574,207.5079842,2,2.505837203,210.0138214,,,,
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,3451.19289,4.041101408,150,187.9377902,191.9788916,,,,
0x0c251946301468086e557760F55f2e0622Ef5FFa,100659.197,117.8647603,25,31.32296504,149.1877254,,,,
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,109,136.5681276,136.5681276,,,,
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,41643.06631,48.76106878,65,81.4397091,130.2007779,,,,
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,4.79E-05,5.60E-08,98,122.7860229,122.786023,,,,
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,91681.53119,107.3525522,12,15.03502322,122.3875754,,,,
0x6994ba66FD6789044c4aD43786CC16840d099C8a,2313.447109,2.70888202,93,116.5214299,119.230312,,,,
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,0,0,92,115.2685113,115.2685113,,,,
0xf09D1acBF092EC47970a2aA9e16Bc658b2ECf15e,0,0,80,100.2334881,100.2334881,,,,
0xae79077D8d922d071797a7F8849430Fed488c005,0,0,79,98.98056952,98.98056952,,,,
0xc0719b1040f7f8e904A6509F99335656C1d881eD,37722.25917,44.17008249,22,27.56420923,71.73429172,,,,
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,36569.97872,42.82084404,22,27.56420923,70.38505327,,,,
0xF381896eb9280dCb2099523149D42F7b1Ed43E9A,54181.3479,63.44250474,0,0,63.44250474,,,,
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,44803.17139,52.46132707,7,8.77043021,61.23175728,,,,
0xdb9d281C3D29bAa9587f5dAC99DD982156913913,49665.50985,58.15477957,1,1.252918601,59.40769817,,,,
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,161.5313264,0.189141694,47,58.88717427,59.07631596,,,,
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,57.81593055,1,1.252918601,59.06884915,,,,
0xbb73548A0e6F839fb58e9D59969Ba6AEdEcDF5f1,49962.45202,58.50247773,0,0,58.50247773,,,,
0xa33Aa58FD2795eA89a84C19CACDad50915194980,0,0,46,57.63425567,57.63425567,,,,
0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,358.2525805,0.419488291,43,53.87549986,54.29498815,,,,
0xc0893fA01108f50fa2A04e2ccEE815376EC56233,309.5878709,0.362505377,41,51.36966266,51.73216804,,,,
0x0BAD4eBfF09CEd8dFffC2D99eA04108E1AfAb8b2,25605.22386,29.98189596,17,21.29961623,51.28151219,,,,
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,183.2056714,0.214520811,40,50.11674406,50.33126487,,,,
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,0,0,40,50.11674406,50.11674406,,,,
0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,23068.33472,27.01137922,16,20.04669762,47.05807685,,,,
0xF1E34bdc4D2316f27a5A61E2d5679292Faf67A4f,40000.00424,46.83715996,0,0,46.83715996,,,,
0xbbA31530Cd8e112be845da468B72fbbFE739387A,12392.20057,14.51038547,25,31.32296504,45.83335051,,,,
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,41.672902,3,3.758755804,45.43165781,,,,
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,27596.21019,32.31319935,10,12.52918601,44.84238536,,,,
0xCeeC48581B3145a575508719f45da07dc57fA7ce,2471.080061,2.893458995,33,41.34631385,44.23977284,,,,
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,14229.3479,16.66155433,22,27.56420923,44.22576356,,,,
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,19985.70626,23.40184054,15,18.79377902,42.19561957,,,,
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,0,0,33,41.34631385,41.34631385,,,,
0x7af4922fc22037D573e889201bE7C38E42f22220,18991.4006,22.23757934,15,18.79377902,41.03135836,,,,
0xd553294B42bdFEb49D8f5A64E8B2D3A65fc673A9,0,0,32,40.09339525,40.09339525,,,,
0x66ab6A57322aC5FD7026662675Db0E83307e025E,0,0,31,38.84047665,38.84047665,,,,
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,32999.13616,38.63964137,0,0,38.63964137,,,,
0x3C25AE7daE49b3c24439549928BfC1DF60A0aD20,0,0,30,37.58755804,37.58755804,,,,
0xe1adF48dFe386515e717977D0a30F01af289Ee30,15328.19182,17.94822241,15,18.79377902,36.74200143,,,,
0x8c904FacfcC37c5c9d09f014e4b657342524F1e4,31086.97617,36.40063803,0,0,36.40063803,,,,
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,162.4971686,0.190272627,28,35.08172084,35.27199347,,,,
0x93468aDecDcCD18131ce1fd8cAEed68fB3de43e7,0,0,28,35.08172084,35.08172084,,,,
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,28150.54936,32.96229108,1,1.252918601,34.21520969,,,,
0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,8785.198728,10.28684286,19,23.80545343,34.09229629,,,,
0xa532F169ceE0e551D4Da641031Ac78fd85461035,28703.24491,33.60945826,0,0,33.60945826,,,,
0x22CAb81E0FEe2bad5b015DbBEB6A374A1B8738de,0,0,26,32.57588364,32.57588364,,,,
0xaE74D4Af5310170f8B2c0227B0C8CA70c8E2C78F,0,0,26,32.57588364,32.57588364,,,,
0x3cb76EC20b4f7C1871696520eCC50e44be7244c5,26417.39166,30.93288669,1,1.252918601,32.18580529,,,,
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5543.636049,6.491203522,20,25.05837203,31.54957555,,,,
0xe17686193c98482347e3E2E754b9fd857dA37a86,20.35637263,0.023835865,25,31.32296504,31.3468009,,,,
0x0628C084F4b72c1297e96C7005F309ae89F982A6,0,0,24,30.07004644,30.07004644,,,,
0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,25648.8281,30.03295343,0,0,30.03295343,,,,
0x10e11E6443904faF15cdb944f3E99C321Ccc6199,8875.744552,10.39286558,15,18.79377902,29.1866446,,,,
0x6D33ECD723155522d597682Df1f0Ac10e7D7D9ed,0,0,23,28.81712783,28.81712783,,,,
0xBDc7a955505e20410061744f556f6dEC761Bfb8f,4113.982786,4.817181235,19,23.80545343,28.62263466,,,,
0x20eC02894D748C59c01B6bF08FE283D7bB75A5d2,0,0,22,27.56420923,27.56420923,,,,
0x4A32007040567190BeD4fa6Ff3f5A03C0d47C9D7,23145.91857,27.10222439,0,0,27.10222439,,,,
0xd4e42e41FCa01464d36a44ACAb98D2aA1447e8f4,9.00E-05,1.05E-07,21,26.31129063,26.31129074,,,,
0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,22459.00029,26.29789193,0,0,26.29789193,,,,
0xd1ccaB6B1F4606d80106B52a4415985ab78CbB93,21757.07319,25.47598523,0,0,25.47598523,,,,
