Wallet,Gotchis,Gotchi VLT,vGHST,vGHST VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,22,33.46433312,393601.1591,875.4854224,908.9497555
0xd281F988242C900d67fF2aafABe683B8004Ee778,172,261.6302407,195086.2995,433.9296451,695.5598858
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,185,281.4046194,99231.29381,220.7197544,502.1243738
0x6994ba66FD6789044c4aD43786CC16840d099C8a,84,127.7729083,144035.431,320.3774106,448.1503189
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,1,1.521106051,177329.3574,394.4329527,395.9540588
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,150,228.1659076,16220.91259,36.08010845,264.2460161
0x60c4ae0EE854a20eA7796a9678090767679B30FC,144,219.0392713,1.930017506,0.00429293,219.0435642
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,55,83.66083279,51692.83601,114.9801603,198.6409931
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,24,36.50654522,64690.71136,143.8912804,180.3978256
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,110,167.3216656,0,0,167.3216656
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,90,136.8995446,854.1132493,1.89980055,138.7993451
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,1,1.521106051,49376.12505,109.8271097,111.3482158
0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,6,9.126636304,45916.45336,102.1317764,111.2584127
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,43,65.40756018,20000,44.48591687,109.8934771
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,9,13.68995446,42489.94754,94.51021372,108.2001682
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,47,71.49198439,15161.53133,33.72373111,105.2157155
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,10,15.21106051,33388.39653,74.26567164,89.47673215
0xa33Aa58FD2795eA89a84C19CACDad50915194980,56,85.18193884,338.8613045,0.753727791,85.93566663
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,3,4.563318152,35589.61001,79.16182162,83.72513978
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,51,77.57640859,88.83669183,0.197599084,77.77400767
0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,0,0,31869.31196,70.88677814,70.88677814
