Wallet,Balance,,Column1,Balance,% total,VLT,,,,Token ID,Address,,,Unique wallet,Num gotchis,% total,VLT,,,Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
,,,0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177329.3574,0.066900347,312.8179966,,4675.88,,4211,0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,,,0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,187,0.050622631,236.7053492,,,0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,455893.6499,804.2195623,32,40.50572821,844.7252905
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177329.3574,,0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,0.037436599,175.0490442,,,,17235,0x73c65A848607560345d363848a94862cdD26a3d4,,,0xC561C9b7035732B4EbDbAe6aC43D6a293aB53896,176,0.047644829,222.7815051,,,0xd281F988242C900d67fF2aafABe683B8004Ee778,241592.9899,426.1823095,172,217.7182891,643.9005987
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55305.12905,0.020864748,97.56105769,,,,11686,0x73c65A848607560345d363848a94862cdD26a3d4,,,0xd281F988242C900d67fF2aafABe683B8004Ee778,172,0.046561992,217.7182891,,,0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,175.0490442,187,236.7053492,411.7543934
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55305.12905,,0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,0.019872452,92.921203,,,,23640,0x5477729b43A0A9beA8c41367C62e7864123B57d8,,,0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,150,0.040606389,189.870601,,,0x6994ba66FD6789044c4aD43786CC16840d099C8a,144035.431,254.0858188,92,116.4539686,370.5397874
0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,,0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,0.018627936,87.10199339,,,,15067,0x65D3FeBC3112cef66BE36df9A62Ac0f94079BD42,,,0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,150,0.040606389,189.870601,,,0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177329.3574,312.8179966,1,1.265804006,314.0838006
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,,0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,47257.90038,0.017828802,83.36533745,,,,900,0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,,,0x60c4ae0EE854a20eA7796a9678090767679B30FC,144,0.038982133,182.2757769,,,0xC561C9b7035732B4EbDbAe6aC43D6a293aB53896,3031.439602,5.347613486,176,222.7815051,228.1291186
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,47257.77195,,0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,45916.45336,0.017322719,80.99895674,,,,11530,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,,,0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,110,0.029778018,139.2384407,,,0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,28.61451399,150,189.870601,218.485115
0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,45916.45336,,0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,0.013426752,62.78188036,,,,15927,0x60c4ae0EE854a20eA7796a9678090767679B30FC,,,0x6994ba66FD6789044c4aD43786CC16840d099C8a,92,0.024905252,116.4539686,,,0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,0,0,150,189.870601,189.870601
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,,0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,33578.34581,0.01266797,59.23390813,,,,4130,0x60c4ae0EE854a20eA7796a9678090767679B30FC,,,0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,90,0.024363833,113.9223606,,,0x60c4ae0EE854a20eA7796a9678090767679B30FC,2.985419278,0.005266431,144,182.2757769,182.2810434
0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,33578.34581,,0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,26087.64656,0.009841984,46.01993404,,,,23243,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,,0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,65,0.017596102,82.27726042,,,0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,76384.70543,134.7465015,28,35.44251218,170.1890137
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,26087.64656,,0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,25660.83003,0.00968096,45.267008,,,,16565,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,,0xa33Aa58FD2795eA89a84C19CACDad50915194980,56,0.015159718,70.88502436,,,0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,47257.90038,83.36533745,65,82.27726042,165.6425979
0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,25660.83003,,0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,41434.94754,0.015631999,73.09335278,,,,24616,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,,0x07A009e9E98649Bff954cf3032ceB3E21E020f49,52,0.014076881,65.82180834,,,0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,110,139.2384407,139.2384407
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,22500,,0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,20978.37139,0.007914427,37.00691305,,,,5052,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,48,0.012994044,60.75859231,,,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55305.12905,97.56105769,29,36.70831619,134.2693739
0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,20978.37139,,0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,0.0061196,28.61451399,,,,21770,0x172d7a92660006eBecb125c712FA0Fe9dd53e106,,,0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,47,0.012723335,59.49278831,,,0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,35507.77352,62.63751664,47,59.49278831,122.1303049
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,,0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,0.005719931,26.74571162,,,,12653,0x76b4D57A195eD129b28d1e320eD53655EF4750f3,,,0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,47,0.012723335,59.49278831,,,0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,1165.568709,2.056122425,90,113.9223606,115.978483
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,,0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,14898.25664,0.005620607,26.28128169,,,,8732,0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,,,0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,45,0.012181917,56.96118029,,,0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,37899.30327,66.85629663,24,30.37929616,97.23559278
