Wallet,Balance,Type
0x1F0aa72b980d65518e88841bA1dA075BD43fa933,1441552.425,contract
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177329.3574,contract
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,contract
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55305.12905,contract
0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,contract
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,contract
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,47257.77195,contract
0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,45916.45336,contract
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,contract
0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,33578.34581,contract
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,26087.64656,contract
0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,25660.83003,contract
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,22500,contract
0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,20978.37139,contract
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,contract
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,contract
0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,14898.25664,contract
0x985116F8C174fE13325D36685424d1796cC11f51,14853.01289,contract
0x64dF7AF696e0977771a0E1e1B1a8dD22DED3Cf4b,13821.00491,contract
0xbbA31530Cd8e112be845da468B72fbbFE739387A,12408.78798,contract
0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,12195.90506,contract
0x08f214ECD776cc89f89A65c2Daa62A3aB5191A2E,11153.97467,contract
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,10111.22132,contract
0xc0719b1040f7f8e904A6509F99335656C1d881eD,10097.65728,contract
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,9969.430023,contract
0x88512CfC901ADB8E17a143310700d6C4BF036F6a,9884.530139,contract
0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,9874.195167,contract
0x1c9674667D8468204452c52D610a0883E97C22aD,9811.790664,contract
0xb2ac25160796b5e384EdC1Fd8f4479A020C1B53C,9370.551812,contract
0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,8155.718028,contract
0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,8078.534717,contract
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,7766.914386,contract
0xE1f987CB66D8F0Da79Cb0fE245500200bbFBA51E,6551.984634,contract
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,6311.799305,contract
0x1dbF00bc3f40F551d79422a96367A6F58Ae59412,6241.271195,contract
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,5936.277503,contract
0x46077ac2F9F1c76C075b5964e4dCC02ef441c8eb,5915.453193,contract
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,5654.386329,contract
0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,5635.585481,contract
0x59bdFB381CA2080D0D042903e776D3DCb548050A,5355.556075,contract
0xdC7Aa225964267c7E0EfB35f4931426209E90312,5330.793375,contract
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5115.745622,contract
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,4944.76657,contract
