Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4,455893.6499,588.8756504,32,38.35635991,627.2320103
0xd281F988242C900d67fF2aafABe683B8004Ee778,245288.3473,316.8377868,172,206.1654345,523.0032213
0x60eD33735C9C29ec2c26B8eC734e36D5B6fa1EAB,99231.29381,128.1765883,185,221.7477057,349.9242941
0x84Ef9d47a2B1cbFC2F011F886287Ef44F08c80ab,246367.2218,318.2313638,0,0,318.2313638
0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,203212.1744,262.4881952,25,29.96590618,292.4541014
0x6994ba66FD6789044c4aD43786CC16840d099C8a,144035.431,186.0498784,82,98.28817226,284.3380507
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,177329.3574,229.0554842,1,1.198636247,230.2541204
0xC561C9b7035732B4EbDbAe6aC43D6a293aB53896,3031.439602,3.915696057,176,210.9599795,214.8756755
0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,16220.91259,20.95247533,150,179.7954371,200.7479124
0x9289e0156d908EDBfa616bc08f99b0AD77a55e05,0,0,150,179.7954371,179.7954371
0x60c4ae0EE854a20eA7796a9678090767679B30FC,908.6559234,1.173706517,144,172.6036196,173.7773261
0xF17fAf9978B2F0087E6c78553Ede42D15abF76c5,47257.90038,61.04280424,65,77.91135606,138.9541603
0x6021DB23296793f8D1e9CdF710b29356DAD1f4A5,0,0,110,131.8499872,131.8499872
0xE4ea40377D1ecA80c5F6D060A18528f3f73b2B61,0,0,100,119.8636247,119.8636247
0xBfe09443556773958bae1699b786d8E9680B5571,92727.00964,119.7750355,0,0,119.7750355
0x795f50722Cf5ad82F78Dda8dC8F7B235332977C3,1165.568709,1.505559535,90,107.8772622,109.3828218
0x2848b9f2D4FaEBaA4838c41071684c70688B455d,55305.12905,71.43737108,29,34.76045117,106.1978222
0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,57901.02426,74.79047653,23,27.56863368,102.3591102
0xC76b85Cd226518DAF2027081dEfF2Eac4Cc91a00,32500.00002,41.98009482,47,56.33590361,98.31599844
0xD98695E2FCE07e908c9F523387b1b1f8Eb9d41EC,35141.75608,45.3924385,40,47.94544988,93.33788839
0x62C239F8f0999De6BBee0704bc888bE30A248C0A,60214.52582,77.77881545,0,0,77.77881545
0x2c123fc5C27888571CD525e8ae9b0c5ff848386D,15161.53133,19.58407761,47,56.33590361,75.91998122
0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,42.63678817,25,29.96590618,72.60269435
0x9ff84B91998dF96A6587DB8dDe8D4E47518107d6,52693.22742,68.06359022,0,0,68.06359022
0x5e672Fe3264aB1947177AAca2aDD08a537c31c75,52674.90169,68.03991896,0,0,68.03991896
0x2f2B6FcD1050eF4f406f314897D08dF1c327DAb6,52123.73385,67.3279781,0,0,67.3279781
0xa33Aa58FD2795eA89a84C19CACDad50915194980,0,0,56,67.12362984,67.12362984
0xdb9d281C3D29bAa9587f5dAC99DD982156913913,49665.50985,64.15270189,1,1.198636247,65.35133814
0x0c1fD8441C36b288eC0F77E12cA8bA27a27b28bF,49376.12505,63.77890493,1,1.198636247,64.97754117
0xf2B9ec5724dC97362A53907c0b4cc0AA72369e63,41434.94754,53.52132387,9,10.78772622,64.30905009
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,9.18316E-05,1.18618E-07,51,61.1304486,61.13044872
0xdf631777df4DebcBcd647e85bdcB868b43663BA0,183.2672691,0.236725456,48,57.53453986,57.77126532
0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,0,0,45,53.93863112,53.93863112
0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,126.7815712,0.16376315,43,51.54135863,51.70512178
0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,45.97092929,3,3.595908741,49.56683803
0xc0893fA01108f50fa2A04e2ccEE815376EC56233,309.5878709,0.399893174,41,49.14408613,49.54397931
0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,18152.21288,23.44712669,21,25.17136119,48.61848788
0x7b3012531aaEd7b48bc9BfbC1cd7E7f20B1BB5b8,0,0,39,46.74681364,46.74681364
0xbbA31530Cd8e112be845da468B72fbbFE739387A,12408.78798,16.02837217,25,29.96590618,45.99427835
0x5d5D7CA38EB488F49DD700c786a1b7Baa31b4486,22087.06352,28.52975448,14,16.78090746,45.31066194
0xe5465CEd137EcF8c80bBf7A1e2f2bf457a12A466,24827.19376,32.06916761,10,11.98636247,44.05553008
0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,33578.34581,43.37298893,0,0,43.37298893
0x33aCB82452e13523535eA34D082b6Ee67D14E2C8,32425.92675,41.88441473,0,0,41.88441473
0x7af4922fc22037D573e889201bE7C38E42f22220,18800.27695,24.28422796,14,16.78090746,41.06513542
0xCeeC48581B3145a575508719f45da07dc57fA7ce,617.4903704,0.797609363,33,39.55499615,40.35260552
0x3F7C10cBbb1EA1046a80B738b9Eaf3217410c7F6,26159.1395,33.78963557,5,5.993181236,39.78281681
0xc0719b1040f7f8e904A6509F99335656C1d881eD,10097.65728,13.04309569,22,26.36999744,39.41309312
0xd757f002d43DcB8dB9A4E43A8350Aa8cCcdC4e4f,20360.13376,26.29908754,10,11.98636247,38.28545001
0x985116F8C174fE13325D36685424d1796cC11f51,14899.36393,19.24543724,15,17.97954371,37.22498094
0x76A5Df896413F3B566d07da5AF44326C0f54a25b,19.72047926,0.025472849,31,37.15772366,37.18319651
0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,15789.53194,20.395263,14,16.78090746,37.17617046
0x66ab6A57322aC5FD7026662675Db0E83307e025E,0,0,31,37.15772366,37.15772366
0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,10799.2529,13.9493434,18,21.57545245,35.52479585
0xB3e2A7b1295d9EE03e1f300DfCCaab2ecd47ee53,9.45052E-05,1.22072E-07,29,34.76045117,34.76045129
0x9fBa5259A1a4654212849E87CFdf5B28d5bbcB5e,25660.83003,33.14597161,0,0,33.14597161
0xAAE96b3720d3499cA3B40C55ef16f34D7fCfa06D,19009.93779,24.55504586,7,8.39045373,32.94549959
0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,8078.534717,10.43500472,18,21.57545245,32.01045716
0xefb3141fF2CC4BAcC32274560F67Ce44A02b47a2,19208.54553,24.81158653,5,5.993181236,30.80476776
0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,5211.500992,6.731670943,20,23.97272494,30.70439589
0xa532F169ceE0e551D4Da641031Ac78fd85461035,23642.14053,30.53844002,0,0,30.53844002
0xE7793581460b2c5C088Ae0D6465DB6fCD33F3E43,17255.43503,22.28876302,6,7.191817483,29.4805805
0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,22472.78371,29.0279874,0,0,29.0279874
0xF1E34bdc4D2316f27a5A61E2d5679292Faf67A4f,11935.50279,15.41703195,10,11.98636247,27.40339442
0x1A760e3A431c8B9C075eD1280C8835a1a0F1651b,11765.05435,15.19686452,10,11.98636247,27.18322699
0x1163E75d2bf3E0ffDB3602FBe0aBA099D5c20e3c,20978.37139,27.09766215,0,0,27.09766215
0xd1ccaB6B1F4606d80106B52a4415985ab78CbB93,20713.81461,26.75593541,0,0,26.75593541
0x5039E2936ec2a588CaD92E4EDCf41a1D3a443186,7649.258738,9.880510982,14,16.78090746,26.66141844
0x2D5f86cd294cA6c92189340EaEFf41fc63Dc66EF,2059.255514,2.659930514,20,23.97272494,26.63265546
0xcCc3cE05B1D1B4E4A72e2052b98B1de8E60593E8,18628.94952,24.06292513,1,1.198636247,25.26156138
0x34EC9c1D89cE8Afa701D079FD908FcA95f49667a,4932.824026,6.371705238,15,17.97954371,24.35124894
0xd4e42e41FCa01464d36a44ACAb98D2aA1447e8f4,230.6016718,0.297867078,19,22.7740887,23.07195577
0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,12275.26358,15.85589934,6,7.191817483,23.04771682
0x6186290B28D511bFF971631c916244A9fC539cfE,4766.856555,6.157325848,14,16.78090746,22.93823331
0x38798bfB6016beEeae2b12ed1f7bA2c9bb49334f,0,0,19,22.7740887,22.7740887
0x50f461F471e7dCe973e27f0e319eBe868135D764,0,0,19,22.7740887,22.7740887
0x77427023E70Cafd983dABaF3488D8D83ECB15b96,806.7141795,1.042028853,18,21.57545245,22.6174813
0xbba2379F5cc9A2f248C5Cf18aD72379AE2478F42,0,0,18,21.57545245,21.57545245
0x9080196182F77B89BB5B0EeE3Ddb48cFA716c4c3,0,0,18,21.57545245,21.57545245
