Block 26689818,Wallet,Balance 26689818,Balance 26964727,eligible?,amt eligible,% total,Qi distribution,APR,,,,,Block 26964727,Wallet,Balance
,0xBA12222222228d8Ba445958a75a0704d566BF2C8,80556.59248,84324.55199,,0,0,0,,,,,,,0xBA12222222228d8Ba445958a75a0704d566BF2C8,84324.55199
,0x5e5FFEf1103717f17a9A155D0c7646EC5e16551E,61050.33,61050.33,yes,61050.33,0.249237251,455.7938683,0.388225275,,,,,,0x5e5FFEf1103717f17a9A155D0c7646EC5e16551E,61050.33
,0x00dEcFEec5d6D9D77275CFdc1e447cF284Ae13e2,26250.70126,26250.70126,yes,26250.70126,0.107168178,195.9843406,0.388225275,,Qi received:,"2,031.95",,,0x8c0ad528b58b83b50206C81AD35631C02478039b,30797.38
,0x8c0ad528b58b83b50206C81AD35631C02478039b,25797.38,30797.38,yes,25797.38,0.105317499,192.5999028,0.388225275,,10% to Marc:,203.195,,,0x00dEcFEec5d6D9D77275CFdc1e447cF284Ae13e2,26250.70126
,0x54008ab19ae9D2AB8b3751B3Be11Bb562aF1a578,14880.15,14880.15,yes,14880.15,0.060748036,111.0932755,0.388225275,,90% to vQi:,1828.755,,,0x8565faab405b06936014C8b6bD5Ab60376Cc051B,18000
,0xefb3141fF2CC4BAcC32274560F67Ce44A02b47a2,11010,11010,yes,11010,0.044948195,82.1992361,0.388225275,,,,,,0x54008ab19ae9D2AB8b3751B3Be11Bb562aF1a578,14880.15
,0x0883090dA1AfEcbD88Cd18e5Df1A671A13cA8f77,10005.63451,12532.53461,yes,10005.63451,0.040847885,74.70077324,0.388225275,,,,,,0x0883090dA1AfEcbD88Cd18e5Df1A671A13cA8f77,12532.53461
,0xF981a33484E26Cab32963AA37618c4440Abf67cf,10003.17529,10003.17529,yes,10003.17529,0.040837845,74.68241299,0.388225275,,,,,,0xefb3141fF2CC4BAcC32274560F67Ce44A02b47a2,11010
,0x8565faab405b06936014C8b6bD5Ab60376Cc051B,10000,18000,yes,10000,0.040824882,74.65870672,0.388225275,,,,,,0xF981a33484E26Cab32963AA37618c4440Abf67cf,10003.17529
,0xbA018D9d99714616BaBfA208d2fAA921fa0c2D28,9811.854194,9811.854194,yes,9811.854194,0.040056779,73.25403446,0.388225275,,,,,,0xbA018D9d99714616BaBfA208d2fAA921fa0c2D28,9811.854194
,0xd281F988242C900d67fF2aafABe683B8004Ee778,8455.17781,8575.994959,yes,8455.17781,0.034518163,63.12526404,0.388225275,,,,,,0xd281F988242C900d67fF2aafABe683B8004Ee778,8575.994959
,0xe5Ae5AAc9A19Ec43aBdd161e95640A1cc12aE348,8000.086157,7059.086157,,0,0,0,0,,,,,,0xe5Ae5AAc9A19Ec43aBdd161e95640A1cc12aE348,7059.086157
,0x59bdFB381CA2080D0D042903e776D3DCb548050A,6991.98,7045.96073,yes,6991.98,0.028544676,52.20121842,0.388225275,,,,,,0x59bdFB381CA2080D0D042903e776D3DCb548050A,7045.96073
,0x9824697F7c12CAbAda9b57842060931c48dEA969,5759.860561,5759.860561,yes,5759.860561,0.023514563,43.00237404,0.388225275,,,,,,0x9824697F7c12CAbAda9b57842060931c48dEA969,5759.860561
